iter	Passed	Remaining
940	12382	776
941	12392	763
942	12403	749
943	12414	736
944	12424	723
945	12434	709
946	12445	696
947	12455	683
948	12466	669
949	12478	656
950	12488	643
951	12499	630
952	12509	616
953	12520	603
954	12531	590
955	12543	577
956	12555	564
957	12566	550
958	12576	537
959	12586	524
960	12597	511
961	12607	498
962	12618	484
963	12628	471
964	12639	458
965	12649	445
966	12660	432
967	12671	418
968	12681	405
969	12691	392
970	12702	379
971	12712	366
972	12723	353
973	12733	339
974	12745	326
975	12755	313
976	12766	300
977	12776	287
978	12788	274
979	12800	261
980	12811	248
981	12822	235
982	12833	221
983	12844	208
984	12854	195
985	12864	182
986	12876	169
987	12886	156
988	12897	143
989	12908	130
990	12919	117
991	12929	104
992	12940	91
993	12950	78
994	12960	65
995	12971	52
996	12981	39
997	12992	26
998	13002	13
999	13013	0
